Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_016920845.1	Primary Assembly	Un			JACDQR010000029.1	Chromosome		NW_024399559.1	unplaced-scaffold	802			Contig6
GCF_016920845.1	Primary Assembly	Un			JACDQR010000030.1	Chromosome		NW_024399659.1	unplaced-scaffold	12631			Contig7
GCF_016920845.1	Primary Assembly	Un			JACDQR010000031.1	Chromosome		NW_024399754.1	unplaced-scaffold	21776			Contig8
GCF_016920845.1	Primary Assembly	Un			JACDQR010000032.1	Chromosome		NW_024397039.1	unplaced-scaffold	20747			Contig10
GCF_016920845.1	Primary Assembly	Un			JACDQR010000033.1	Chromosome		NW_024397140.1	unplaced-scaffold	30307			Contig11
GCF_016920845.1	Primary Assembly	Un			JACDQR010000034.1	Chromosome		NW_024397237.1	unplaced-scaffold	4092			Contig12
GCF_016920845.1	Primary Assembly	Un			JACDQR010000035.1	Chromosome		NW_024397334.1	unplaced-scaffold	24530			Contig13
GCF_016920845.1	Primary Assembly	Un			JACDQR010000036.1	Chromosome		NW_024397535.1	unplaced-scaffold	789			Contig15
GCF_016920845.1	Primary Assembly	Un			JACDQR010000037.1	Chromosome		NW_024397737.1	unplaced-scaffold	1280			Contig17
GCF_016920845.1	Primary Assembly	Un			JACDQR010000038.1	Chromosome		NW_024397832.1	unplaced-scaffold	1315			Contig18
GCF_016920845.1	Primary Assembly	Un			JACDQR010000039.1	Chromosome		NW_024398028.1	unplaced-scaffold	2445			Contig20
GCF_016920845.1	Primary Assembly	Un			JACDQR010000040.1	Chromosome		NW_024398117.1	unplaced-scaffold	16580			Contig21
GCF_016920845.1	Primary Assembly	Un			JACDQR010000041.1	Chromosome		NW_024398315.1	unplaced-scaffold	2152			Contig23
GCF_016920845.1	Primary Assembly	Un			JACDQR010000042.1	Chromosome		NW_024398403.1	unplaced-scaffold	10965			Contig24
GCF_016920845.1	Primary Assembly	Un			JACDQR010000043.1	Chromosome		NW_024398501.1	unplaced-scaffold	104510			Contig25
GCF_016920845.1	Primary Assembly	Un			JACDQR010000044.1	Chromosome		NW_024398592.1	unplaced-scaffold	6317			Contig26
GCF_016920845.1	Primary Assembly	Un			JACDQR010000045.1	Chromosome		NW_024398684.1	unplaced-scaffold	16785			Contig27
GCF_016920845.1	Primary Assembly	Un			JACDQR010000046.1	Chromosome		NW_024398774.1	unplaced-scaffold	2600			Contig28
GCF_016920845.1	Primary Assembly	Un			JACDQR010000047.1	Chromosome		NW_024398857.1	unplaced-scaffold	1317			Contig29
GCF_016920845.1	Primary Assembly	Un			JACDQR010000048.1	Chromosome		NW_024398951.1	unplaced-scaffold	4887			Contig30
GCF_016920845.1	Primary Assembly	Un			JACDQR010000049.1	Chromosome		NW_024399043.1	unplaced-scaffold	997			Contig31
GCF_016920845.1	Primary Assembly	Un			JACDQR010000050.1	Chromosome		NW_024399137.1	unplaced-scaffold	3146			Contig32
GCF_016920845.1	Primary Assembly	Un			JACDQR010000051.1	Chromosome		NW_024399227.1	unplaced-scaffold	36096			Contig33
GCF_016920845.1	Primary Assembly	Un			JACDQR010000052.1	Chromosome		NW_024399293.1	unplaced-scaffold	25136			Contig34
GCF_016920845.1	Primary Assembly	Un			JACDQR010000053.1	Chromosome		NW_024399304.1	unplaced-scaffold	9921			Contig35
GCF_016920845.1	Primary Assembly	Un			JACDQR010000054.1	Chromosome		NW_024399315.1	unplaced-scaffold	2217			Contig36
GCF_016920845.1	Primary Assembly	Un			JACDQR010000055.1	Chromosome		NW_024399326.1	unplaced-scaffold	2029			Contig37
GCF_016920845.1	Primary Assembly	Un			JACDQR010000056.1	Chromosome		NW_024399336.1	unplaced-scaffold	13540			Contig38
GCF_016920845.1	Primary Assembly	Un			JACDQR010000057.1	Chromosome		NW_024399347.1	unplaced-scaffold	18278			Contig39
GCF_016920845.1	Primary Assembly	Un			JACDQR010000058.1	Chromosome		NW_024399358.1	unplaced-scaffold	1628			Contig40
GCF_016920845.1	Primary Assembly	Un			JACDQR010000059.1	Chromosome		NW_024399367.1	unplaced-scaffold	19117			Contig41
GCF_016920845.1	Primary Assembly	Un			JACDQR010000060.1	Chromosome		NW_024399378.1	unplaced-scaffold	2750			Contig42
GCF_016920845.1	Primary Assembly	Un			JACDQR010000061.1	Chromosome		NW_024399389.1	unplaced-scaffold	7765			Contig43
GCF_016920845.1	Primary Assembly	Un			JACDQR010000062.1	Chromosome		NW_024399400.1	unplaced-scaffold	3072			Contig44
GCF_016920845.1	Primary Assembly	Un			JACDQR010000063.1	Chromosome		NW_024399411.1	unplaced-scaffold	28779			Contig45
GCF_016920845.1	Primary Assembly	Un			JACDQR010000064.1	Chromosome		NW_024399432.1	unplaced-scaffold	2615			Contig47
GCF_016920845.1	Primary Assembly	Un			JACDQR010000065.1	Chromosome		NW_024399442.1	unplaced-scaffold	3995			Contig48
GCF_016920845.1	Primary Assembly	Un			JACDQR010000066.1	Chromosome		NW_024399453.1	unplaced-scaffold	48564			Contig49
GCF_016920845.1	Primary Assembly	Un			JACDQR010000067.1	Chromosome		NW_024399462.1	unplaced-scaffold	22197			Contig50
GCF_016920845.1	Primary Assembly	Un			JACDQR010000068.1	Chromosome		NW_024399473.1	unplaced-scaffold	3294			Contig51
GCF_016920845.1	Primary Assembly	Un			JACDQR010000069.1	Chromosome		NW_024399484.1	unplaced-scaffold	2420			Contig52
GCF_016920845.1	Primary Assembly	Un			JACDQR010000070.1	Chromosome		NW_024399495.1	unplaced-scaffold	859			Contig53
GCF_016920845.1	Primary Assembly	Un			JACDQR010000071.1	Chromosome		NW_024399504.1	unplaced-scaffold	8360			Contig54
GCF_016920845.1	Primary Assembly	Un			JACDQR010000072.1	Chromosome		NW_024399515.1	unplaced-scaffold	13902			Contig55
GCF_016920845.1	Primary Assembly	Un			JACDQR010000073.1	Chromosome		NW_024399523.1	unplaced-scaffold	15942			Contig56
GCF_016920845.1	Primary Assembly	Un			JACDQR010000074.1	Chromosome		NW_024399532.1	unplaced-scaffold	14880			Contig57
GCF_016920845.1	Primary Assembly	Un			JACDQR010000075.1	Chromosome		NW_024399543.1	unplaced-scaffold	65732			Contig58
GCF_016920845.1	Primary Assembly	Un			JACDQR010000076.1	Chromosome		NW_024399551.1	unplaced-scaffold	795			Contig59
GCF_016920845.1	Primary Assembly	Un			JACDQR010000077.1	Chromosome		NW_024399560.1	unplaced-scaffold	4319			Contig60
GCF_016920845.1	Primary Assembly	Un			JACDQR010000078.1	Chromosome		NW_024399571.1	unplaced-scaffold	4403			Contig61
GCF_016920845.1	Primary Assembly	Un			JACDQR010000079.1	Chromosome		NW_024399581.1	unplaced-scaffold	42321			Contig62
GCF_016920845.1	Primary Assembly	Un			JACDQR010000080.1	Chromosome		NW_024399592.1	unplaced-scaffold	38958			Contig63
GCF_016920845.1	Primary Assembly	Un			JACDQR010000081.1	Chromosome		NW_024399603.1	unplaced-scaffold	7424			Contig64
GCF_016920845.1	Primary Assembly	Un			JACDQR010000082.1	Chromosome		NW_024399614.1	unplaced-scaffold	15082			Contig65
GCF_016920845.1	Primary Assembly	Un			JACDQR010000083.1	Chromosome		NW_024399623.1	unplaced-scaffold	1801			Contig66
GCF_016920845.1	Primary Assembly	Un			JACDQR010000084.1	Chromosome		NW_024399642.1	unplaced-scaffold	16887			Contig68
GCF_016920845.1	Primary Assembly	Un			JACDQR010000085.1	Chromosome		NW_024399651.1	unplaced-scaffold	1354			Contig69
GCF_016920845.1	Primary Assembly	Un			JACDQR010000086.1	Chromosome		NW_024399660.1	unplaced-scaffold	19083			Contig70
GCF_016920845.1	Primary Assembly	Un			JACDQR010000087.1	Chromosome		NW_024399680.1	unplaced-scaffold	1280			Contig72
GCF_016920845.1	Primary Assembly	Un			JACDQR010000088.1	Chromosome		NW_024399691.1	unplaced-scaffold	1126			Contig73
GCF_016920845.1	Primary Assembly	Un			JACDQR010000089.1	Chromosome		NW_024399700.1	unplaced-scaffold	1237			Contig74
GCF_016920845.1	Primary Assembly	Un			JACDQR010000090.1	Chromosome		NW_024399707.1	unplaced-scaffold	8999			Contig75
GCF_016920845.1	Primary Assembly	Un			JACDQR010000091.1	Chromosome		NW_024399725.1	unplaced-scaffold	1201			Contig77
GCF_016920845.1	Primary Assembly	Un			JACDQR010000092.1	Chromosome		NW_024399744.1	unplaced-scaffold	25242			Contig79
GCF_016920845.1	Primary Assembly	Un			JACDQR010000093.1	Chromosome		NW_024399765.1	unplaced-scaffold	6922			Contig81
GCF_016920845.1	Primary Assembly	Un			JACDQR010000094.1	Chromosome		NW_024399774.1	unplaced-scaffold	2282			Contig82
GCF_016920845.1	Primary Assembly	Un			JACDQR010000095.1	Chromosome		NW_024399785.1	unplaced-scaffold	12732			Contig83
GCF_016920845.1	Primary Assembly	Un			JACDQR010000096.1	Chromosome		NW_024399796.1	unplaced-scaffold	2710			Contig84
GCF_016920845.1	Primary Assembly	Un			JACDQR010000097.1	Chromosome		NW_024399805.1	unplaced-scaffold	9424			Contig85
GCF_016920845.1	Primary Assembly	Un			JACDQR010000098.1	Chromosome		NW_024399813.1	unplaced-scaffold	1622			Contig86
GCF_016920845.1	Primary Assembly	Un			JACDQR010000099.1	Chromosome		NW_024399822.1	unplaced-scaffold	27559			Contig87
GCF_016920845.1	Primary Assembly	Un			JACDQR010000100.1	Chromosome		NW_024399833.1	unplaced-scaffold	8038			Contig88
GCF_016920845.1	Primary Assembly	Un			JACDQR010000101.1	Chromosome		NW_024399844.1	unplaced-scaffold	10267			Contig89
GCF_016920845.1	Primary Assembly	Un			JACDQR010000102.1	Chromosome		NW_024399855.1	unplaced-scaffold	2445			Contig90
GCF_016920845.1	Primary Assembly	Un			JACDQR010000103.1	Chromosome		NW_024399872.1	unplaced-scaffold	41248			Contig92
GCF_016920845.1	Primary Assembly	Un			JACDQR010000104.1	Chromosome		NW_024399883.1	unplaced-scaffold	6875			Contig93
GCF_016920845.1	Primary Assembly	Un			JACDQR010000105.1	Chromosome		NW_024399892.1	unplaced-scaffold	253			Contig94
GCF_016920845.1	Primary Assembly	Un			JACDQR010000106.1	Chromosome		NW_024399903.1	unplaced-scaffold	31947			Contig95
GCF_016920845.1	Primary Assembly	Un			JACDQR010000107.1	Chromosome		NW_024399923.1	unplaced-scaffold	18769			Contig97
GCF_016920845.1	Primary Assembly	Un			JACDQR010000108.1	Chromosome		NW_024399931.1	unplaced-scaffold	1660			Contig98
GCF_016920845.1	Primary Assembly	Un			JACDQR010000109.1	Chromosome		NW_024397049.1	unplaced-scaffold	646			Contig101
GCF_016920845.1	Primary Assembly	Un			JACDQR010000110.1	Chromosome		NW_024397059.1	unplaced-scaffold	37610			Contig102
GCF_016920845.1	Primary Assembly	Un			JACDQR010000111.1	Chromosome		NW_024397070.1	unplaced-scaffold	17785			Contig103
GCF_016920845.1	Primary Assembly	Un			JACDQR010000112.1	Chromosome		NW_024397081.1	unplaced-scaffold	3747			Contig104
GCF_016920845.1	Primary Assembly	Un			JACDQR010000113.1	Chromosome		NW_024397092.1	unplaced-scaffold	1544			Contig105
GCF_016920845.1	Primary Assembly	Un			JACDQR010000114.1	Chromosome		NW_024397101.1	unplaced-scaffold	52761			Contig106
GCF_016920845.1	Primary Assembly	Un			JACDQR010000115.1	Chromosome		NW_024397112.1	unplaced-scaffold	7506			Contig107
GCF_016920845.1	Primary Assembly	Un			JACDQR010000116.1	Chromosome		NW_024397121.1	unplaced-scaffold	25153			Contig108
GCF_016920845.1	Primary Assembly	Un			JACDQR010000117.1	Chromosome		NW_024397129.1	unplaced-scaffold	22193			Contig109
GCF_016920845.1	Primary Assembly	Un			JACDQR010000118.1	Chromosome		NW_024397151.1	unplaced-scaffold	33526			Contig111
GCF_016920845.1	Primary Assembly	Un			JACDQR010000119.1	Chromosome		NW_024397161.1	unplaced-scaffold	17705			Contig112
GCF_016920845.1	Primary Assembly	Un			JACDQR010000120.1	Chromosome		NW_024397172.1	unplaced-scaffold	1691			Contig113
GCF_016920845.1	Primary Assembly	Un			JACDQR010000121.1	Chromosome		NW_024397182.1	unplaced-scaffold	2014			Contig114
GCF_016920845.1	Primary Assembly	Un			JACDQR010000122.1	Chromosome		NW_024397201.1	unplaced-scaffold	2813			Contig116
GCF_016920845.1	Primary Assembly	Un			JACDQR010000123.1	Chromosome		NW_024397226.1	unplaced-scaffold	3699			Contig119
GCF_016920845.1	Primary Assembly	Un			JACDQR010000124.1	Chromosome		NW_024397238.1	unplaced-scaffold	2149			Contig120
GCF_016920845.1	Primary Assembly	Un			JACDQR010000125.1	Chromosome		NW_024397249.1	unplaced-scaffold	28762			Contig121
GCF_016920845.1	Primary Assembly	Un			JACDQR010000126.1	Chromosome		NW_024397268.1	unplaced-scaffold	18335			Contig123
GCF_016920845.1	Primary Assembly	Un			JACDQR010000127.1	Chromosome		NW_024397277.1	unplaced-scaffold	1592			Contig124
GCF_016920845.1	Primary Assembly	Un			JACDQR010000128.1	Chromosome		NW_024397284.1	unplaced-scaffold	34359			Contig125
GCF_016920845.1	Primary Assembly	Un			JACDQR010000129.1	Chromosome		NW_024397295.1	unplaced-scaffold	33282			Contig126
GCF_016920845.1	Primary Assembly	Un			JACDQR010000130.1	Chromosome		NW_024397304.1	unplaced-scaffold	2515			Contig127
GCF_016920845.1	Primary Assembly	Un			JACDQR010000131.1	Chromosome		NW_024397335.1	unplaced-scaffold	19372			Contig130
GCF_016920845.1	Primary Assembly	Un			JACDQR010000132.1	Chromosome		NW_024397344.1	unplaced-scaffold	18356			Contig131
GCF_016920845.1	Primary Assembly	Un			JACDQR010000133.1	Chromosome		NW_024397373.1	unplaced-scaffold	12679			Contig134
GCF_016920845.1	Primary Assembly	Un			JACDQR010000134.1	Chromosome		NW_024397384.1	unplaced-scaffold	3098			Contig135
GCF_016920845.1	Primary Assembly	Un			JACDQR010000135.1	Chromosome		NW_024397394.1	unplaced-scaffold	2268			Contig136
GCF_016920845.1	Primary Assembly	Un			JACDQR010000136.1	Chromosome		NW_024397404.1	unplaced-scaffold	5968			Contig137
GCF_016920845.1	Primary Assembly	Un			JACDQR010000137.1	Chromosome		NW_024397415.1	unplaced-scaffold	13258			Contig138
GCF_016920845.1	Primary Assembly	Un			JACDQR010000138.1	Chromosome		NW_024397425.1	unplaced-scaffold	15435			Contig139
GCF_016920845.1	Primary Assembly	Un			JACDQR010000139.1	Chromosome		NW_024397436.1	unplaced-scaffold	2976			Contig140
GCF_016920845.1	Primary Assembly	Un			JACDQR010000140.1	Chromosome		NW_024397455.1	unplaced-scaffold	10604			Contig142
GCF_016920845.1	Primary Assembly	Un			JACDQR010000141.1	Chromosome		NW_024397463.1	unplaced-scaffold	54584			Contig143
GCF_016920845.1	Primary Assembly	Un			JACDQR010000142.1	Chromosome		NW_024397483.1	unplaced-scaffold	13021			Contig145
GCF_016920845.1	Primary Assembly	Un			JACDQR010000143.1	Chromosome		NW_024397494.1	unplaced-scaffold	1250			Contig146
GCF_016920845.1	Primary Assembly	Un			JACDQR010000144.1	Chromosome		NW_024397504.1	unplaced-scaffold	23787			Contig147
GCF_016920845.1	Primary Assembly	Un			JACDQR010000145.1	Chromosome		NW_024397513.1	unplaced-scaffold	13864			Contig148
GCF_016920845.1	Primary Assembly	Un			JACDQR010000146.1	Chromosome		NW_024397524.1	unplaced-scaffold	2377			Contig149
GCF_016920845.1	Primary Assembly	Un			JACDQR010000147.1	Chromosome		NW_024397536.1	unplaced-scaffold	13138			Contig150
GCF_016920845.1	Primary Assembly	Un			JACDQR010000148.1	Chromosome		NW_024397546.1	unplaced-scaffold	3009			Contig151
GCF_016920845.1	Primary Assembly	Un			JACDQR010000149.1	Chromosome		NW_024397557.1	unplaced-scaffold	15201			Contig152
GCF_016920845.1	Primary Assembly	Un			JACDQR010000150.1	Chromosome		NW_024397575.1	unplaced-scaffold	1185			Contig154
GCF_016920845.1	Primary Assembly	Un			JACDQR010000151.1	Chromosome		NW_024397586.1	unplaced-scaffold	7607			Contig155
GCF_016920845.1	Primary Assembly	Un			JACDQR010000152.1	Chromosome		NW_024397596.1	unplaced-scaffold	36963			Contig156
GCF_016920845.1	Primary Assembly	Un			JACDQR010000153.1	Chromosome		NW_024397607.1	unplaced-scaffold	5776			Contig157
GCF_016920845.1	Primary Assembly	Un			JACDQR010000154.1	Chromosome		NW_024397618.1	unplaced-scaffold	1113			Contig158
GCF_016920845.1	Primary Assembly	Un			JACDQR010000155.1	Chromosome		NW_024397628.1	unplaced-scaffold	2273			Contig159
GCF_016920845.1	Primary Assembly	Un			JACDQR010000156.1	Chromosome		NW_024397638.1	unplaced-scaffold	2906			Contig160
GCF_016920845.1	Primary Assembly	Un			JACDQR010000157.1	Chromosome		NW_024397647.1	unplaced-scaffold	2667			Contig161
GCF_016920845.1	Primary Assembly	Un			JACDQR010000158.1	Chromosome		NW_024397657.1	unplaced-scaffold	3249			Contig162
GCF_016920845.1	Primary Assembly	Un			JACDQR010000159.1	Chromosome		NW_024397667.1	unplaced-scaffold	1010			Contig163
GCF_016920845.1	Primary Assembly	Un			JACDQR010000160.1	Chromosome		NW_024397677.1	unplaced-scaffold	3013			Contig164
GCF_016920845.1	Primary Assembly	Un			JACDQR010000161.1	Chromosome		NW_024397688.1	unplaced-scaffold	14515			Contig165
GCF_016920845.1	Primary Assembly	Un			JACDQR010000162.1	Chromosome		NW_024397697.1	unplaced-scaffold	18727			Contig166
GCF_016920845.1	Primary Assembly	Un			JACDQR010000163.1	Chromosome		NW_024397707.1	unplaced-scaffold	715			Contig167
GCF_016920845.1	Primary Assembly	Un			JACDQR010000164.1	Chromosome		NW_024397717.1	unplaced-scaffold	878			Contig168
GCF_016920845.1	Primary Assembly	Un			JACDQR010000165.1	Chromosome		NW_024397727.1	unplaced-scaffold	23603			Contig169
GCF_016920845.1	Primary Assembly	Un			JACDQR010000166.1	Chromosome		NW_024397738.1	unplaced-scaffold	17362			Contig170
GCF_016920845.1	Primary Assembly	Un			JACDQR010000167.1	Chromosome		NW_024397749.1	unplaced-scaffold	10137			Contig171
GCF_016920845.1	Primary Assembly	Un			JACDQR010000168.1	Chromosome		NW_024397757.1	unplaced-scaffold	1283			Contig172
GCF_016920845.1	Primary Assembly	Un			JACDQR010000169.1	Chromosome		NW_024397765.1	unplaced-scaffold	2002			Contig173
GCF_016920845.1	Primary Assembly	Un			JACDQR010000170.1	Chromosome		NW_024397772.1	unplaced-scaffold	5965			Contig174
GCF_016920845.1	Primary Assembly	Un			JACDQR010000171.1	Chromosome		NW_024397781.1	unplaced-scaffold	1805			Contig175
GCF_016920845.1	Primary Assembly	Un			JACDQR010000172.1	Chromosome		NW_024397792.1	unplaced-scaffold	151412			Contig176
GCF_016920845.1	Primary Assembly	Un			JACDQR010000173.1	Chromosome		NW_024397801.1	unplaced-scaffold	6572			Contig177
GCF_016920845.1	Primary Assembly	Un			JACDQR010000174.1	Chromosome		NW_024397812.1	unplaced-scaffold	41593			Contig178
GCF_016920845.1	Primary Assembly	Un			JACDQR010000175.1	Chromosome		NW_024397822.1	unplaced-scaffold	38052			Contig179
GCF_016920845.1	Primary Assembly	Un			JACDQR010000176.1	Chromosome		NW_024397833.1	unplaced-scaffold	4902			Contig180
GCF_016920845.1	Primary Assembly	Un			JACDQR010000177.1	Chromosome		NW_024397861.1	unplaced-scaffold	1462			Contig183
GCF_016920845.1	Primary Assembly	Un			JACDQR010000178.1	Chromosome		NW_024397871.1	unplaced-scaffold	22402			Contig184
GCF_016920845.1	Primary Assembly	Un			JACDQR010000179.1	Chromosome		NW_024397889.1	unplaced-scaffold	11980			Contig186
GCF_016920845.1	Primary Assembly	Un			JACDQR010000180.1	Chromosome		NW_024397899.1	unplaced-scaffold	3742			Contig187
GCF_016920845.1	Primary Assembly	Un			JACDQR010000181.1	Chromosome		NW_024397909.1	unplaced-scaffold	1499			Contig188
GCF_016920845.1	Primary Assembly	Un			JACDQR010000182.1	Chromosome		NW_024397920.1	unplaced-scaffold	1350			Contig189
GCF_016920845.1	Primary Assembly	Un			JACDQR010000183.1	Chromosome		NW_024397929.1	unplaced-scaffold	1892			Contig190
GCF_016920845.1	Primary Assembly	Un			JACDQR010000184.1	Chromosome		NW_024397939.1	unplaced-scaffold	3040			Contig191
GCF_016920845.1	Primary Assembly	Un			JACDQR010000185.1	Chromosome		NW_024397950.1	unplaced-scaffold	2664			Contig192
GCF_016920845.1	Primary Assembly	Un			JACDQR010000186.1	Chromosome		NW_024397961.1	unplaced-scaffold	2390			Contig193
GCF_016920845.1	Primary Assembly	Un			JACDQR010000187.1	Chromosome		NW_024397967.1	unplaced-scaffold	15196			Contig194
GCF_016920845.1	Primary Assembly	Un			JACDQR010000188.1	Chromosome		NW_024397977.1	unplaced-scaffold	12913			Contig195
GCF_016920845.1	Primary Assembly	Un			JACDQR010000189.1	Chromosome		NW_024397986.1	unplaced-scaffold	3044			Contig196
GCF_016920845.1	Primary Assembly	Un			JACDQR010000190.1	Chromosome		NW_024397996.1	unplaced-scaffold	6267			Contig197
GCF_016920845.1	Primary Assembly	Un			JACDQR010000191.1	Chromosome		NW_024398006.1	unplaced-scaffold	8100			Contig198
GCF_016920845.1	Primary Assembly	Un			JACDQR010000192.1	Chromosome		NW_024398016.1	unplaced-scaffold	4052			Contig199
GCF_016920845.1	Primary Assembly	Un			JACDQR010000193.1	Chromosome		NW_024398029.1	unplaced-scaffold	2211			Contig200
GCF_016920845.1	Primary Assembly	Un			JACDQR010000194.1	Chromosome		NW_024398039.1	unplaced-scaffold	2565			Contig201
GCF_016920845.1	Primary Assembly	Un			JACDQR010000195.1	Chromosome		NW_024398046.1	unplaced-scaffold	7207			Contig202
GCF_016920845.1	Primary Assembly	Un			JACDQR010000196.1	Chromosome		NW_024398055.1	unplaced-scaffold	6591			Contig203
GCF_016920845.1	Primary Assembly	Un			JACDQR010000197.1	Chromosome		NW_024398061.1	unplaced-scaffold	3958			Contig204
GCF_016920845.1	Primary Assembly	Un			JACDQR010000198.1	Chromosome		NW_024398072.1	unplaced-scaffold	1259			Contig205
GCF_016920845.1	Primary Assembly	Un			JACDQR010000199.1	Chromosome		NW_024398089.1	unplaced-scaffold	22016			Contig207
GCF_016920845.1	Primary Assembly	Un			JACDQR010000200.1	Chromosome		NW_024398100.1	unplaced-scaffold	1756			Contig208
GCF_016920845.1	Primary Assembly	Un			JACDQR010000201.1	Chromosome		NW_024398110.1	unplaced-scaffold	33626			Contig209
GCF_016920845.1	Primary Assembly	Un			JACDQR010000202.1	Chromosome		NW_024398118.1	unplaced-scaffold	18197			Contig210
GCF_016920845.1	Primary Assembly	Un			JACDQR010000203.1	Chromosome		NW_024398127.1	unplaced-scaffold	1637			Contig211
GCF_016920845.1	Primary Assembly	Un			JACDQR010000204.1	Chromosome		NW_024398135.1	unplaced-scaffold	2862			Contig212
GCF_016920845.1	Primary Assembly	Un			JACDQR010000205.1	Chromosome		NW_024398145.1	unplaced-scaffold	11990			Contig213
GCF_016920845.1	Primary Assembly	Un			JACDQR010000206.1	Chromosome		NW_024398155.1	unplaced-scaffold	1458			Contig214
GCF_016920845.1	Primary Assembly	Un			JACDQR010000207.1	Chromosome		NW_024398165.1	unplaced-scaffold	25924			Contig215
GCF_016920845.1	Primary Assembly	Un			JACDQR010000208.1	Chromosome		NW_024398175.1	unplaced-scaffold	10031			Contig216
GCF_016920845.1	Primary Assembly	Un			JACDQR010000209.1	Chromosome		NW_024398185.1	unplaced-scaffold	13950			Contig217
GCF_016920845.1	Primary Assembly	Un			JACDQR010000210.1	Chromosome		NW_024398196.1	unplaced-scaffold	105655			Contig218
GCF_016920845.1	Primary Assembly	Un			JACDQR010000211.1	Chromosome		NW_024398206.1	unplaced-scaffold	2673			Contig219
GCF_016920845.1	Primary Assembly	Un			JACDQR010000212.1	Chromosome		NW_024398215.1	unplaced-scaffold	1953			Contig220
GCF_016920845.1	Primary Assembly	Un			JACDQR010000213.1	Chromosome		NW_024398224.1	unplaced-scaffold	7765			Contig221
